Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
MCR American Pharmaceuticals,RM0278982,DISTRIBUTOR,MCR AMERICAN PHARMACEUTICALS,,16255 AVIATION LOOP,,BROOKSVILLE,FL,34604,HERNANDO
Martin Surgical Supply Co,RM0279528,DISTRIBUTOR,MARTIN SURGICAL SUPPLY CO,,707 E 6 1/2 STREET,,HOUSTON,TX,77007,HARRIS
MWI Veterinary Supply,RM0280747,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,2590 114TH STREET,SUITE #100,GRAND PRAIRIE,TX,75050,DALLAS
Catalent Micron Technologies Inc,RM0280761,MANUFACTURER,CATALENT MICRON TECHNOLOGIES INC,,333 PHOENIXVILLE PIKE,,MALVERN,PA,19355,CHESTER
Metrics,RM0282638,MANUFACTURER,METRICS,,1240 SUGG PARKWAY,,GREENVILLE,NC,27834,PITT
McKesson Corporation,RM0283313,DISTRIBUTOR,MCKESSON MEDICAL SURGICAL INC,,16043 EL PRADO ROAD,,CHINO,CA,91708,SAN BERNARDINO
McKesson Corporation,RM0291207,DISTRIBUTOR,"MCKESSON SPECIALTY DISTRIBUTION, LLC",,3000 KENSKILL AVE,,WASHINGTON C H,OH,43160,FAYETTE
MWI Veterinary Supply,RM0296093,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,4200 B INDUSTRY DR EAST,,FIFE,WA,98424,PIERCE
Morton Grove Pharmaceuticals,RM0301414,MANUFACTURER,MORTON GROVE PHARMACEUTICALS,,6451 MAIN STREET,,MORTON GROVE,IL,60053,COOK
McKesson Corporation,RM0301515,DISTRIBUTOR,MCKESSON SPECIALTY LOGISTICS,,A DIVISION OF MCKESSON CORP.,4853 CRUMPLER ROAD,MEMPHIS,TN,38141,SHELBY
Matrix,RM0303482,DISTRIBUTOR,MATRIX,,110 TICES LANE,"BUILDING A, UNIT 5B",EAST BRUNSWICK,NJ,8816,MIDDLESEX
Morton Grove Pharmaceuticals,RM0306173,MANUFACTURER,MORTON GROVE PHARMACEUTICALS INC,,50 LAKEVIEW PARKWAY,SUITE 127,VERNON HILLS,IL,60061,LAKE
McKesson Corporation,RM0306541,MANUFACTURER,MCKESSON PACKAGING SERVICES,A BUSINESS UNIT OF,MCKESSON CORPORATION,7101 WEDDINGTON ROAD NW,CONCORD,NC,28027,CABARRUS
Mikart,RM0306729,MANUFACTURER,MIKART INC,,1595 CHATTAHOOCHEE AVE NW,,ATLANTA,GA,30318,FULTON
MWI Veterinary Supply,RM0310540,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,1499 ZEAGER ROAD,SUITE 2,ELIZABETHTOWN,PA,17022,LANCASTER
Morris & Dickson Co,RM0314790,DISTRIBUTOR,MORRIS & DICKSON CO,,10301 HIGHWAY 1 SOUTH,,SHREVEPORT,LA,71115,CADDO
Moore Medical LLC,RM0316693,DISTRIBUTOR,MOORE MEDICAL LLC,,8100 WESTSIDE INDUSTRIAL DR,BLDG# 4,JACKSONVILLE,FL,32219,DUVAL
Metro Logics,RM0318229,DISTRIBUTOR,METRO - LOGICS,,675 HARTMAN ROAD,,AUSTELL,GA,30168,COBB
Moore Medical LLC,RM0319954,DISTRIBUTOR,MOORE MEDICAL LLC,,7950 WEST DOE AVE,,VISALIA,CA,93291,TULARE
"MedAire, Inc.",RM0321808,DISTRIBUTOR,"MEDAIRE, INC.",,23610 N. 20TH DRIVE STE 10,,PHOENIX,AZ,85085,MARICOPA
Mallinckrodt LLC,RM0324602,MANUFACTURER,MALLINCKRODT LLC,,385 MARSHALL AVENUE,,WEBSTER GROVES,MO,63119,SAINT LOUIS
MWI Veterinary Supply,RM0324804,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,3890 PERRY BLVD,,WHITESTOWN,IN,46075,BOONE
McKesson Corporation,RM0328408,DISTRIBUTOR,MCKESSON CORPORATION,,3301 POLLOK DRIVE,,CONROE,TX,77303,MONTGOMERY
Monte Sano Pharmaceuticals,RM0333663,DISTRIBUTOR,MONTE SANO PHARMACEUTICALS,,4801 UNIVERSITY SQUARE,SUITE 31,HUNTSVILLE,AL,35816,MADISON
Morris & Dickson Co,RM0333738,DISTRIBUTOR,"MORRIS & DICKSON CO., L.L.C.",,2619 STATE HWY 124,P.O. BOX 1910 (MAILING),WINNIE,TX,77665,CHAMBERS
McKesson Corporation,RM0335869,DISTRIBUTOR,MCKESSON CORPORATION,,"217 RAILROAD AVE., SE",,ABERDEEN,SD,57401,BROWN
McKesson Corporation,RM0336950,DISTRIBUTOR,MCKESSON CORPORATION,,6775 JEFFERSON METROPOLITAN,,MCCALLA,AL,35111,JEFFERSON
McKesson Corporation,RM0337534,DISTRIBUTOR,MCKESSON CORPORATION,,1823 RUST AVENUE,,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU
MWI Veterinary Supply,RM0338461,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,9080 BOGGY CREEK RD STE 100,,ORLANDO,FL,32824,ORANGE
Medisca Inc.,RM0338978,DISTRIBUTOR,MEDISCA INC.,,3955 W. MESA VISTA AVENUE,SUITE  10,LAS VEGAS,NV,89118,CLARK
Monosol Rx,RM0339564,MANUFACTURER,"MONOSOL RX, LLC",MONOSOL RX,6560 MELTON ROAD,,PORTAGE,IN,46368,PORTER
McKesson Corporation,RM0339831,DISTRIBUTOR,MCKESSON SPECIALTY DIST LLC,,4853 CRUMPLER ROAD,,MEMPHIS,TN,38141,SHELBY
Midlothian Laboratories,RM0342244,DISTRIBUTOR,"MIDLOTHIAN LABORATORIES, LLC",,5323 PERIMETER PARKWAY COURT,,MONTGOMERY,AL,36116,MONTGOMERY
MWI Veterinary Supply,RM0342446,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,,151 DEPOSITION DRIVE,,CLEAR LAKE,WI,54005,POLK
Mallinckrodt LLC,RM0345163,DISTRIBUTOR,MALLINCKRODT LLC,,3600 NORTH SECOND STREET,,SAINT LOUIS,MO,63147,SAINT LOUIS CITY
Masters Speciality Pharma,RM0348107,DISTRIBUTOR,MASTERS SPECIALITY PHARMA,"MASTERS MEDICAL, INC.",1840 N. COMMERCE PARKWAY,SUITE 2,WESTON,FL,33326,BROWARD
McKesson Corporation,RM0354958,DISTRIBUTOR,MCKESSON CORPORATION,,3400 FRASER STREET,,AURORA,CO,80011,ADAMS
"Med-Health Pharmaceutical Products, L.L.C.",RM0356899,DISTRIBUTOR,"MED-HEALTH PHARMACEUTICAL PRODUCTS, L.L.C.",,2875 COLEMAN ST,,NORTH LAS VEGAS,NV,89032,CLARK
MWI Veterinary Supply,RM0357841,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,2450 MIDPOINT DRIVE,,EDWARDSVILLE,KS,66111,WYANDOTTE
Med Shop Total Care Pharmacy,RM0377110,MANUFACTURER,MED SHOP TOTAL CARE PHARMACY,,470 E LOOP 281,,LONGVIEW,TX,75605,GREGG
McKesson Corporation,RM0380484,DISTRIBUTOR,MCKESSON CORPORATION,,1995 MCKESSON ST.,SUITE 101,AURORA,IL,60502,DUPAGE
Medsource Pharmaceuticals,RM0381955,MANUFACTURER,MEDSOURCE PHARMACEUTICALS,,30336 ESPERANZA,,RANCHO SANTA MARGARITA,CA,92688,ORANGE
Medical Purchasing Solutions,RM0384088,DISTRIBUTOR,MEDICAL PURCHASING SOLUTIONS,,"15021 N. 74TH STREET, #300",,SCOTTSDALE,AZ,85260,MARICOPA
Myoderm,RM0387818,DISTRIBUTOR,MYODERM,,48 EAST MAIN STREET,,NORRISTOWN,PA,19401,MONTGOMERY
"Medpoint, Inc.",RM0397679,DISTRIBUTOR,"MEDPOINT, INC.",,"13850 SW 143 CT., #21",,MIAMI,FL,33186,MIAMI-DADE
Monosol Rx,RM0399483,MANUFACTURER,MONOSOL RX,MONOSOL RX,6465 AMERIPLEX DR,,PORTAGE,IN,46368,PORTER
Metro Logics,RM0408357,DISTRIBUTOR,"METRO LOGICS, INC.",,3907 WEST NINIGRET DRIVE,,SALT LAKE CITY,UT,84104,SALT LAKE
"Masters Pharmaceutical, Inc",RM0417572,DISTRIBUTOR,"MASTERS PHARMACEUTICAL, INC.",,8695 SEWARD ROAD,,FAIRFIELD,OH,45011,BUTLER
"Asclemed USA, Inc.",RM0418031,MANUFACTURER,"ASCLEMED USA, INC.",DBA ENOVACHEM PHARMACEUTICALS,379 VAN NESS AVE.  SUITE 1403-1406,,TORRANCE,CA,90501,LOS ANGELES
McKesson Corporation,RM0421557,DISTRIBUTOR,MCKESSON CORPORATION,DBA: MCKESSON DRUG COMPANY,8313 POLK LANE,,OLIVE BRANCH,MS,38654,DESOTO
McKesson Corporation,RM0424363,DISTRIBUTOR,MCKESSON CORPORATION,,10504 MCKESSON DRIVE,,RUTHER GLEN,VA,22546,CAROLINE
"Assured Waste Solutions, LLC",RM0432322,REVERSE DISTRIB,"ASSURED WASTE SOLUTIONS, LLC",ASSURED WASTE SOLUTIONS,148 BOXWOOD LANE,,GASTONIA,NC,28054,GASTON
MWI Veterinary Supply,RM0439073,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,5655 ELEVENTH AVENUE EAST,SUITE 100,SHAKOPEE,MN,55379,SCOTT
"Milky Way Anesthesia, LLC",RM0453047,DISTRIBUTOR,"MILKY WAY ANESTHESIA, LLC",,10255 N. 32ND STREET,,PHOENIX,AZ,85028,MARICOPA
McKesson Corporation,RM0456411,DISTRIBUTOR,MCKESSON CORPORATION,,1 JOHN HENRY DRIVE,,ROBBINSVILLE,NJ,8691,MERCER
MWI Veterinary Supply,RM0472679,DISTRIBUTOR,MWI VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,6105 CORPORATE PARK DRIVE,SUITE 101,BROWNS SUMMIT,NC,27214,GUILFORD
Northeast Medical Products Inc,RN0110344,DISTRIBUTOR,NORTHEAST MEDICAL PRODUCTS INC,,520 BOSTON POST RD.,,OLD SAYBROOK,CT,6475,MIDDLESEX
New England Medical Supply,RN0155247,DISTRIBUTOR,NEW ENGLAND MEDICAL SUPPLY,,365 EDDY ST,,PROVIDENCE,RI,2903,PROVIDENCE
Fisher Clinical Services Inc,RN0170287,MANUFACTURER,FISHER CLINICAL SERVICES,,7554 SCHANTZ ROAD,,ALLENTOWN,PA,18106,LEHIGH
National Pharmaceutical,RN0205408,REVERSE DISTRIB,NATIONAL PHARMACEUTICAL,,RETURNS INC,4164 NW URBANDALE DRIVE,URBANDALE,IA,50322,POLK
Cardinal Health,RN0209583,MANUFACTURER,CARDINAL HEALTH,,3540 EAST PIKE,,ZANESVILLE,OH,43701,MUSKINGUM
Cardinal Health,RN0231427,MANUFACTURER,CARDINAL HEALTH,,850 AIRPARK DRIVE,,ZANESVILLE,OH,43701,MUSKINGUM
National Logistics Services,RN0233863,DISTRIBUTOR,NATIONAL LOGISTICS SERV,,DBA: NLS ANIMAL HEALTH,212 N. ANN ARBOR,OKLAHOMA CITY,OK,73127,OKLAHOMA
"Noven Pharmaceuticals, Inc",RN0238382,MANUFACTURER,NOVEN PHARMACEUTICALS,,11960 SW 144 STREET,,MIAMI,FL,33186,MIAMI-DADE
Advocate Health & Hospitals Corporation,RN0249246,DISTRIBUTOR,ADVOCATE HEALTH & HOSPITALS CORPORATION,DBA ADVOCATE MEDICAL GROUP,1775 BALLARD ROAD,,PARK RIDGE,IL,60068,COOK
Advocate Health & Hospitals Corporation,RN0249246,DISTRIBUTOR,ADVOCATE HEALTH & HOSPITALS CORPORATION,ADVOCATE MEDICAL GROUP,1775 BALLARD ROAD,,PARK RIDGE,IL,60068,COOK
,RN0261038,MANUF (BULK),NORAMCO INC,,1550 OLYMPIC DR,,ATHENS,GA,30601,CLARKE
NuCare Pharmaceuticals,RN0272322,MANUFACTURER,NUCARE PHARMACEUTICALS,,622 WEST KATELLA AVE,,ORANGE,CA,92867,ORANGE
Cardinal Health,RN0281054,DISTRIBUTOR,CARDINAL HEALTH,,401 MASON RD,,LA VERGNE,TN,37086,RUTHERFORD
National Logistics Services,RN0292970,DISTRIBUTOR,NATIONAL LOGISTICS SERVICES,,DBA NLS ANIMAL HEALTH,140 PLUM INDUSTRIAL CT,PITTSBURGH,PA,15239,ALLEGHENY
Network Clinic Supply,RN0310451,DISTRIBUTOR,NETWORK CLINIC SUPPLY,,511 AMIGOS DRIVE,SUITE C,REDLANDS,CA,92373,SAN BERNARDINO
Northeast Veterinary Supply Co,RN0320577,DISTRIBUTOR,NORTHEAST VETERINARY SUPPLY CO,NORTHEAST VETERINARY SUPPLY COMPANY,6951-L ALLENTOWN BLVD,,HARRISBURG,PA,17112,DAUPHIN
National Logistics Services,RN0341723,DISTRIBUTOR,NATIONAL LOGISTICS SERVICES,,140 PLUM INDUSTRIAL CT,,PITTSBURGH,PA,15239,ALLEGHENY
National Logistics Services,RN0342054,DISTRIBUTOR,NATIONAL LOGISTICS SERVICES,,212 N. ANN ARBOR,,OKLAHOMA CITY,OK,73127,OKLAHOMA
NorMed,RN0344414,CHEMICAL MANUFACTURER,NORMED,,4320 S. 131ST PL,PO BOX 3644,SEATTLE,WA,98124,KING
NaphCare Inc,RN0349969,DISTRIBUTOR,NAPHCARE INC,,"2090 COLUMBIANA ROAD, STE 1100",,BIRMINGHAM,AL,35216,JEFFERSON
National Rx Returns Inc,RN0351635,REVERSE DISTRIB,NATIONAL RX RETURNS INC,,1610 N HERCULES AVENUE,SUITE F,CLEARWATER,FL,33765,PINELLAS
"Novel Laboratories,Inc",RN0355809,MANUFACTURER,"NOVEL LABORATORIES,INC",,400 CAMPUS DRIVE,,SOMERSET,NJ,8873,SOMERSET
Norwich Pharmaceuticals Inc,RN0362967,MANUFACTURER,NORWICH PHARMACEUTICALS INC,,6826 STATE HIGHWAY 12,,NORWICH,NY,13815,CHENANGO
New York City Hospital,RN0368779,DISTRIBUTOR,NEW YORK CITY HOSPITAL,"RON BROWN BUILDING, PHARMACY DEPT",NYC HEALTH & HOSPITAL CORP,530 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK
Nationwide Medical Surgical,RN0371269,DISTRIBUTOR,NATIONWIDE MEDICAL/SURGICAL,,"14141 COVELLO ST., UNIT 6C",,VAN NUYS,CA,91405,LOS ANGELES
"Nexgen Pharma, Inc",RN0390485,MANUFACTURER,"NEXGEN PHARMA, INC.",COLORADO SPRINGS MANUFACTURING FACILITY,1835 E CHEYENNE ROAD,,COLORADO SPRINGS,CO,80905,EL PASO
"Noven Pharmaceuticals, Inc",RN0392136,MANUFACTURER,"NOVEN PHARMACEUTICALS, INC.",,11960 SW 144TH STREET,,MIAMI,FL,33186,MIAMI-DADE
Nektar Therapeutics,RN0392934,MANUFACTURER,NEKTAR THERAPEUTICS,,1112 CHURCH STREET,,HUNTSVILLE,AL,35801,MADISON
"Navigate Rx, LLC",RN0408674,DISTRIBUTOR,"NAVIGATE RX, LLC",,9400 NW 104 STREET,,MEDLEY,FL,33178,MIAMI-DADE
Nesher Pharmaceuticals (USA) LLC,RN0418613,MANUFACTURER,NESHER PHARMACEUTICALS (USA) LLC,,2303 SCHUETZ ROAD,,SAINT LOUIS,MO,63146,SAINT LOUIS
RxChange Co,RN0419641,MANUFACTURER,RXCHANGE CO,MOHAMMAD SALEMI,2545 N. ONTARIO ST.,,BURBANK,CA,91504,LOS ANGELES
Nesher Pharmaceuticals (USA) LLC,RN0424628,MANUFACTURER,NESHER PHARMACEUTICALS (USA) LLC,,13910-12 ST. CHARLES ROCK ROAD,,BRIDGETON,MO,63044,SAINT LOUIS
"Noven Pharmaceuticals, Inc",RN0432459,MANUFACTURER,"NOVEN PHARMACEUTICALS, INC.",,2730 AND 2732 LOKER AVENUE WEST,,CARLSBAD,CA,92010,SAN DIEGO
"New Lexington Clinic, PSC",RN0440038,DISTRIBUTOR,"NEW LEXINGTON CLINIC, PSC",LEXINGTON CLINIC PHARMACY,1221 SOUTH BROADWAY,,LEXINGTON,KY,40504,FAYETTE
Nesher Pharmaceuticals (USA) LLC,RN0449252,DISTRIBUTOR,NESHER PHARMACEUTICALS (USA) LLC,,2303 SCHUETZ ROAD,,SAINT LOUIS,MO,63146,SAINT LOUIS
Cardinal Health,RO0153609,DISTRIBUTOR,CARDINAL HEALTH,,71 MIL-ACRES DR,,WHEELING,WV,26003,OHIO
First Medical Inc.,RO0155970,DISTRIBUTOR,OMEGA PHARMACY,FIRST MEDICAL,3777 86TH STREET,,URBANDALE,IA,50322,POLK
NYC Health & Hospital Corporation,RO0186444,DISTRIBUTOR,RENAISSANCE HEALTH CARE NETWOR K SYDENHAM,N Y C HEALTH & HOSPITAL CORP (X-REF),C/O PHARMACY,215 WEST 125TH ST,NEW YORK,NY,10027,NEW YORK
"JOM Pharmaceutical Services, Inc.",RO0194059,DISTRIBUTOR,"JOM PHARMACEUTICAL SERVICES, INC.",,1 COTTONTAIL LANE,,SOMERSET,NJ,8873,SOMERSET
Orion Medical Supply,RO0207870,DISTRIBUTOR,ORION MEDICAL SUPPLY,,3002 NE 112TH AVE SUITE F,,VANCOUVER,WA,98682,CLARK
Ohm Laboratories Inc,RO0219394,MANUFACTURER,OHM LABORATORIES,,1385 LIVINGSTON AVENUE,,NORTH BRUNSWICK,NJ,8902,MIDDLESEX
,RO0261824,MANUF (BULK),"AMRI RENSSELAER, INC.",,33 RIVERSIDE AVENUE,,RENSSELAER,NY,12144,RENSSELAER
Ozburn-Hessey,RO0301820,DISTRIBUTOR,OZBURN-HESSEY,,450 LILLARD DRIVE,,SPARKS,NV,89434,WASHOE
,RO0302389,REVERSE DISTRIB,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.","VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",W124 N9451 BOUNDARY ROAD,,MENOMONEE FALLS,WI,53051,WAUKESHA
Omega 2000 Inc,RO0310730,REVERSE DISTRIB,OMEGA 2000 INC,,2417 THIRD AVE STE 203,,BRONX,NY,10451,BRONX
Ortho Mcneil Pharmaceutical,RO0311251,MANUFACTURER,ORTHO MCNEIL PHARMACEUTICAL,,1000 ROUTE 202,P.O. BOX300,RARITAN,NJ,8869,SOMERSET
Ohm Laboratories Inc,RO0319574,MANUFACTURER,OHM LABORATORIES INC,,34 W. FULTON STREET,,GLOVERSVILLE,NY,12078,FULTON
"Orthomeds, Inc",RO0324335,DISTRIBUTOR,"ORTHOMEDS,  INC",,4820 S ASH AVE,SUITE 102,TEMPE,AZ,85282,MARICOPA
Ohm Laboratories Inc,RO0326959,MANUFACTURER,OHM LABORATORIES INC,,14 TERMINAL  ROAD,,NEW BRUNSWICK,NJ,8901,MIDDLESEX
McKesson Corporation,RO0338889,DISTRIBUTOR,MCKESSON SPECIALTY CARE DISTRIBUTION CORPORATION,,401 MASON ROAD,,LA VERGNE,TN,37086,RUTHERFORD
Osmotica Pharmaceuticals Corp,RO0425923,MANUFACTURER,OSMOTICA PHARMACEUTICALS CORP,,895 SAWYER ROAD,,MARIETTA,GA,30062,COBB
Prof Compounding Centers of America Inc,RP0111803,MANUFACTURER,PROF COMPOUNDING CENTERS OF,,AMERICA INC,9901 S. WILCREST,HOUSTON,TX,77099,HARRIS
PD-Rx Pharmaceuticals Inc,RP0117475,MANUFACTURER,PD-RX PHARMACEUTICALS INC,,727 N ANN ARBOR,,OKLAHOMA CITY,OK,73127,OKLAHOMA
Pharmaceutics Inc,RP0131158,DISTRIBUTOR,PHARMACEUTICS INC,,2383 CENTRE ST,,WEST ROXBURY,MA,2132,SUFFOLK
Physicians Total Care,RP0136704,MANUFACTURER,PHYSICIANS TOTAL CARE,,12515 EAST 55TH STREET,,TULSA,OK,74146,TULSA
Patient First Corporation,RP0141553,MANUFACTURER,PATIENT FIRST CORPORATION,PHARMACEUTICAL SERVICES DIV,5000 COX ROAD,SUITE 100,GLEN ALLEN,VA,23060,HENRICO
Delhaize America Distribution LLC,RP0146577,DISTRIBUTOR,DELHAIZE AMERICA DISTRIBUTION LLC,,1245 ROUTE 202,,WINTHROP,ME,4364,KENNEBEC
Paddock Laboratories,RP0153813,MANUFACTURER,PADDOCK LABORATORIES,,3940 QUEBEC AVE NORTH,,MINNEAPOLIS,MN,55427,HENNEPIN
Bellegrove Medical Supply Inc,RP0156314,DISTRIBUTOR,BELLEGROVE MEDICAL SUPPLY INC,,8349 154TH AVE NE,,REDMOND,WA,98052,KING
Professional Vet Products,RP0157190,DISTRIBUTOR,PROFESSIONAL VET PRODUCTS,,10077 SOUTH 134TH STREET,,OMAHA,NE,68138,SARPY
Park Surgical Company Inc,RP0159548,DISTRIBUTOR,PARK SURGICAL COMPANY INC,PARCO PRODUCTS,1579 CONEY ISLAND AVENUE,,BROOKLYN,NY,11230,KINGS
Peace Corps,RP0167571,DISTRIBUTOR,PEACE CORPS,OFFICE OF THE ADMIN. SERVICES,CONTROLLED SUBSTANCE OFFICER,1111 20TH STREET NW,WASHINGTON,DC,20526,DISTRICT OF COLUMBIA
Pharmaceutical Systems,RP0177039,DISTRIBUTOR,PHARMACEUTICAL SYSTEMS,,8240 SOUTH LEWIS,,TULSA,OK,74137,TULSA
Prescript Pharmaceuticals,RP0177798,MANUFACTURER,PRESCRIPT PHARMACEUTICALS,PRESCRIPT,39 CALIFORNIA AVENUE,UNIT 104,PLEASANTON,CA,94566,ALAMEDA
Prescript Pharmaceuticals,RP0177798,MANUFACTURER,PRESCRIPT PHARMACEUTICALS,,39 CALIFORNIA AVENUE,UNIT 104,PLEASANTON,CA,94566,ALAMEDA
Pharmaceutical Returns Serv,RP0194174,REVERSE DISTRIB,PHARMACEUTICAL RETURNS SERV,,720 HEARTLAND DRIVE,SUITE B & E,SUGAR GROVE,IL,60554,KANE
Price and Novelties,RP0196180,DISTRIBUTOR,PRICE AND NOVELTIES,,"URB. INDUSTRIAL MARIO, JULIA",CALLE A #12,PUERTO NUEVO,PR,920,SAN JUAN
P J C Distributor Co Inc,RP0199845,DISTRIBUTOR,P J C DISTRIBUTOR CO INC,DBA BROOKS,KILLINGLY OAKS BUSINESS PARK,500 FORBES RD,DAYVILLE,CT,6241,WINDHAM
"Prescription Containers, Inc",RP0201474,DISTRIBUTOR,"PRESCRIPTION CONTAINERS, INC",,600 SECAUCUS ROAD,,SECAUCUS,NJ,7094,HUDSON
,RP0203618,REVERSE DISTRIB,P S INDUSTRIES INC,,"1100 2ND AVE, SUITE B1",,SEATTLE,WA,98101,KING
Pharmpak,RP0207060,MANUFACTURER,PHARMPAK,,1221 ANDERSEN DRIVE,SUITE B,SAN RAFAEL,CA,94901,MARIN
,RP0209456,REVERSE DISTRIB,PHARMACEUTICAL CREDIT CORP,,"130 SEABOARD LANE, SUITE A-6",,FRANKLIN,TN,37067,WILLIAMSON
"Amerifit Pharma, Inc.",RP0213001,MANUFACTURER,"AMERIFIT PHARMA, INC.",,11 STATE STREET,,WOBURN,MA,1801,MIDDLESEX
Progressive Returns,RP0215512,REVERSE DISTRIB,PROGRESSIVE RETURNS,,6209 W. GRAND,,CHICAGO,IL,60639,COOK
Return Solutions,RP0216223,REVERSE DISTRIB,RETURN SOLUTIONS,,10635 DUTCHTOWN ROAD,,KNOXVILLE,TN,37932,KNOX
Pharmaceutics International,RP0217732,MANUFACTURER,"PHARMACEUTICS  INTERNATIONAL, INC.",,10819 GILROY ROAD,,HUNT VALLEY,MD,21031,BALTIMORE
Pharmaceutical Manufacturing,RP0218099,MANUFACTURER,PHARMACEUTICAL MANUFACTURING,,"RESEARCH SERVICES, INC.",202 PRECISION ROAD,HORSHAM,PA,19044,MONTGOMERY
Pharma Logistics,RP0225107,REVERSE DISTRIB,PHARMA LOGISTICS,,1050 EAST HIGH STREET,,MUNDELEIN,IL,60060,LAKE
Catalent Pharma Solutions,RP0225284,MANUFACTURER,"CATALENT PHARMA SOLUTIONS, LLC",,10381 DECATUR ROAD,,PHILADELPHIA,PA,19154,PHILADELPHIA
,RP0228583,REVERSE DISTRIB,PROFESSIONAL RETURNS &,DESTRUCTION,3738 W. COMMONWEALTH,SUITE 14,CHANDLER,AZ,85226,MARICOPA
"Neos Therapeutics, LP",RP0230033,MANUFACTURER,"NEOS THERAPEUTICS, LP",,2940 N. HWY. 360,SUITE # 100,GRAND PRAIRIE,TX,75050,DALLAS
Priority Healthcare,RP0236542,DISTRIBUTOR,PRIORITY HEALTHCARE,"DISTRIBUTION, INC.",2297 SOUTHWEST BLVD,#D,GROVE CITY,OH,43123,FRANKLIN
,RP0242569,REVERSE DISTRIB,UNIVERSAL RX SOLUTIONS OF GA,,2084-900 LAKE INDUSTRIAL CT,,CONYERS,GA,30013,ROCKDALE
Prime Medical Care,RP0247987,DISTRIBUTOR,PRIME MEDICAL CARE,,232 SW 8TH ST,SUITE #300,MIAMI,FL,33130,MIAMI-DADE
Phoenix Pharmaceutical,RP0253776,DISTRIBUTOR,PHOENIX PHARMACEUTICAL,,1302 SOUTH 59TH STREET,,SAINT JOSEPH,MO,64507,BUCHANAN
Purdue Pharmaceuticals LP,RP0257938,MANUFACTURER,PURDUE PHARMACEUTICALS L P,,4701 PURDUE DRIVE,,WILSON,NC,27893,WILSON
PharmaLink,RP0260581,REVERSE DISTRIB,PHARMALINK,,8285 BRYAN DAIRY ROAD,#160,LARGO,FL,33777,PINELLAS
Pharmakop,RP0264793,DISTRIBUTOR,PHARMAKOP,,12423 GLADSTONE AVENUE,UNIT #5,SYLMAR,CA,91342,LOS ANGELES
,RP0265593,REVERSE DISTRIB,PHARMACEUTICAL RETURNS,,200 DIVISION STREET,SUITE 170,NORTHFIELD,MN,55057,RICE
Priority Healthcare,RP0269527,DISTRIBUTOR,PRIORITY HEALTHCARE DIST,,995 S MCCARRAN BLVD #106,,SPARKS,NV,89431,WASHOE
Pharma-Safe,RP0271279,DISTRIBUTOR,PHARMA-SAFE,,10271 FLORIDA BLVD,,WALKER,LA,70785,LIVINGSTON
Pisgah Labs Inc,RP0271659,MANUFACTURER,PISGAH LABS INC,,3222 OLD HENDERSONVILLE HIGHWAY,,PISGAH FOREST,NC,28768,TRANSYLVANIA
"Magna Pharmaceuticals, Inc.",RP0271899,DISTRIBUTOR,"MAGNA PHARMACEUTICALS, INC.",,10801 ELECTRON DR. SUITE 100,,LOUISVILLE,KY,40299,JEFFERSON
,RP0276534,MANUF (BULK),PENICK CORPORATION,,33 INDUSTRIAL PARK ROAD,,PENNSVILLE,NJ,8070,SALEM
PharmaForce Incorporated,RP0276659,MANUFACTURER,PHARMAFORCE INCORPORATED,,960 CRUPPER AVENUE,,COLUMBUS,OH,43229,FRANKLIN
Pro Pharma LLC,RP0277512,DISTRIBUTOR,PRO PHARMA LLC,PRO PHARMA LLC,515 N. MAIN,,KIRKSVILLE,MO,63501,ADAIR
Catalent Pharma Solutions,RP0278083,DISTRIBUTOR,"CATALENT PHARMA SOLUTIONS, LLC",,10381 DECATUR ROAD,,PHILADELPHIA,PA,19114,PHILADELPHIA
Phoenix Marketing Group,RP0284151,DISTRIBUTOR,PHOENIX MARKETING GROUP,,99 BEAVER BROOK RD,,LINCOLN PARK,NJ,7035,MORRIS
Prasco LLC,RP0286030,DISTRIBUTOR,PRASCO LLC,DBA PRASCO,LABORATORIES,7155 EAST KEMPER RD,CINCINNATI,OH,45249,HAMILTON
Pharmacy Buying Association,RP0286218,DISTRIBUTOR,PHARMACY BUYING ASSOCIATION,,1825 NW VIVION ROAD,,RIVERSIDE,MO,64150,PLATTE
